name;designation;ra_deg;dec_deg;mag
Sirius;9Alp CMa;101.287215;-16.716116;-1.44
Canopus;Alp Car;95.987925;-52.695660;-0.62
Arcturus;16Alp Boo;213.915450;19.182410;-0.05
Rigil Kentaurus;Alp1Cen;219.911475;-60.833976;-0.01
Vega;3Alp Lyr;279.234600;38.783692;0.03
Capella;13Alp Aur;79.172250;45.997991;0.08
Rigel;19Bet Ori;78.634470;-8.201640;0.18
Procyon;10Alp CMi;114.825495;5.224993;0.40
Achernar;Alp Eri;24.428340;-57.236757;0.45
Betelgeuse;58Alp Ori;88.792935;7.407063;0.45
Hadar;Bet Cen;210.955935;-60.373039;0.61
Altair;53Alp Aql;297.695820;8.868322;0.76
Acrux;Alp1Cru;186.649665;-63.099092;0.77
Aldebaran;87Alp Tau;68.980155;16.509301;0.87
Spica;67Alp Vir;201.298245;-11.161322;0.98
Antares;21Alp Sco;247.351920;-26.432002;1.06
Pollux;78Bet Gem;116.329155;28.026199;1.16
Fomalhaut;24Alp PsA;344.412570;-29.622236;1.17
Mimosa;Bet Cru;191.930385;-59.688764;1.25
Deneb;50Alp Cyg;310.357980;45.280338;1.25
Toliman;Alp2Cen;219.905190;-60.838300;1.35
Regulus;32Alp Leo;152.092980;11.967207;1.36
Adhara;21Eps CMa;104.656455;-28.972084;1.50
Castor;66Alp Gem;113.649510;31.888276;1.58
Gacrux;Gam Cru;187.791435;-57.113212;1.59
Shaula;35Lam Sco;263.402175;-37.103821;1.62
Bellatrix;24Gam Ori;81.282765;6.349702;1.64
Elnath;112Bet Tau;81.572970;28.607450;1.65
Miaplacidus;Bet Car;138.300615;-69.717208;1.67
Alnilam;46Eps Ori;84.053385;-1.201920;1.69
Alnair;Alp Gru;332.058135;-46.960975;1.73
Alnitak;50Zet Ori;85.189695;-1.942572;1.74
Alioth;77Eps UMa;193.507080;55.959821;1.76
Mirfak;33Alp Per;51.080670;49.861180;1.79
Kaus Australis;20Eps Sgr;276.043020;-34.384616;1.79
Dubhe;50Alp UMa;165.932325;61.751033;1.81
Wezen;25Del CMa;107.097855;-26.393200;1.83
Alkaid;85Eta UMa;206.885310;49.313265;1.85
Avior;Eps Car;125.628540;-59.509483;1.86
Sargas;The Sco;264.329700;-42.997824;1.86
Menkalinan;34Bet Aur;89.882235;44.947433;1.90
Atria;Alp TrA;252.166155;-69.027715;1.91
Alhena;24Gam Gem;99.427920;16.399252;1.93
Alsephina;Del Vel;131.175885;-54.708821;1.93
Peacock;Alp Pav;306.411885;-56.735090;1.94
Polaris;1Alp UMi;37.946250;89.264109;1.97
Mirzam;2Bet CMa;95.674935;-17.955918;1.98
Alphard;30Alp Hya;141.896850;-8.658603;1.99
Hamal;13Alp Ari;31.793325;23.462423;2.01
Algieba;41Gam1Leo;154.993095;19.841489;2.01
Diphda;16Bet Cet;10.897350;-17.986605;2.04
Nunki;34Sig Sgr;283.816350;-26.296722;2.05
Menkent;5The Cen;211.670925;-36.369954;2.06
Alpheratz;21Alp And;2.096865;29.090432;2.07
Mirach;43Bet And;17.432910;35.620558;2.07
Saiph;53Kap Ori;86.939115;-9.669605;2.07
Kochab;7Bet UMi;222.676575;74.155505;2.07
Tiaki;Bet Gru;340.666725;-46.884577;2.07
Rasalhague;55Alp Oph;263.733615;12.560035;2.08
Algol;26Bet Per;47.042220;40.955648;2.09
Almach;57Gam1And;30.974760;42.329725;2.10
Denebola;94Bet Leo;177.264945;14.572060;2.14
Cih;27Gam Cas;14.177145;60.716740;2.15
Naos;Zet Pup;120.896055;-40.003148;2.21
Aspidiske;Iot Car;139.272570;-59.275229;2.21
Alphecca;5Alp CrB;233.671920;26.714693;2.22
Suhail;Lam Vel;136.999020;-43.432589;2.23
Mizar;79Zet UMa;200.981205;54.925362;2.23
Sadr;37Gam Cyg;305.557095;40.256679;2.23
Schedar;18Alp Cas;10.126740;56.537331;2.24
Eltanin;33Gam Dra;269.151555;51.488895;2.24
Mintaka;34Del Ori;83.001675;-0.299092;2.25
Caph;11Bet Cas;2.293305;59.149780;2.28
Dschubba;7Del Sco;240.083355;-22.621710;2.29
Larawag;26Eps Sco;252.541200;-34.293232;2.29
Merak;48Bet UMa;165.460155;56.382427;2.34
Izar;36Eps Boo;221.246760;27.074222;2.35
Enif;8Eps Peg;326.046495;9.875011;2.38
Ankaa;Alp Phe;6.570840;-42.305981;2.40
Phecda;64Gam UMa;178.457520;53.694760;2.41
Sabik;35Eta Oph;257.594520;-15.724910;2.43
Scheat;53Bet Peg;345.943515;28.082789;2.44
Aludra;31Eta CMa;111.023760;-29.303104;2.45
Alderamin;5Alp Cep;319.644450;62.585573;2.45
Markeb;Kap Vel;140.528430;-55.010668;2.47
Aljanah;53Eps Cyg;311.552670;33.970256;2.48
Markab;54Alp Peg;346.190220;15.205264;2.49
Menkar;92Alp Cet;45.569880;4.089734;2.54
Zosma;68Del Leo;168.527070;20.523717;2.56
Acrab;8Bet1Sco;241.359300;-19.805453;2.56
Arneb;11Alp Lep;83.182560;-17.822289;2.58
Gienah;4Gam Crv;183.951555;-17.541929;2.58
Ascella;38Zet Sgr;285.652980;-29.880105;2.60
Zubeneschamali;27Bet Lib;229.251735;-9.382917;2.61
Unukalhai;24Alp Ser;236.066970;6.425627;2.63
Sheratan;6Bet Ari;28.660020;20.808035;2.64
Phact;Alp Col;84.912255;-34.074108;2.65
Mahasim;37The Aur;89.930265;37.212585;2.65
Kraz;9Bet Crv;188.596815;-23.396759;2.65
Ruchbah;37Del Cas;21.453240;60.235283;2.66
Muphrid;8Eta Boo;208.671165;18.397717;2.68
Hassaleh;3Iot Aur;74.248410;33.166090;2.69
Lesath;34Ups Sco;262.690980;-37.295811;2.70
Kaus Media;19Del Sgr;275.248500;-29.828103;2.72
Tarazed;50Gam Aql;296.564910;10.613261;2.72
Yed Prior;1Del Oph;243.586410;-3.694323;2.73
Athebyne;14Eta Dra;245.997900;61.514213;2.73
Porrima;29Gam Vir;190.415175;-1.449375;2.74
Hatysa;44Iot Ori;83.858265;-5.909901;2.75
Zubenelgenubi;9Alp2Lib;222.719655;-16.041778;2.75
Cebalrai;60Bet Oph;265.868145;4.567303;2.76
Cursa;67Bet Eri;76.962435;-5.086446;2.78
Kornephoros;27Bet Her;247.555020;21.489613;2.78
Rasalgethi;64Alp1Her;258.661905;14.390333;2.78
Imai;Del Cru;183.786405;-58.748928;2.79
Rastaban;23Bet Dra;262.608195;52.301387;2.79
Nihal;9Bet Lep;82.061340;-20.759441;2.81
Paikauhale;23Tau Sco;248.970645;-28.216016;2.82
Kaus Borealis;22Lam Sgr;276.992685;-25.421700;2.82
Algenib;88Gam Peg;3.308970;15.183596;2.83
Tureis;15Rho Pup;121.886055;-24.304324;2.83
Alcyone;25Eta Tau;56.871150;24.105137;2.85
Vindemiatrix;47Eps Vir;195.544170;10.959150;2.85
Deneb Algedi;49Del Cap;326.760165;-16.127286;2.85
Castor B;66Alp Gem;113.652405;31.890520;2.85
Fawaris;18Del Cyg;296.243610;45.130810;2.86
Tejat;13Mu  Gem;95.740095;22.513586;2.87
Acamar;The1Eri;44.565345;-40.304672;2.88
Albaldah;41Pi  Sgr;287.440965;-21.023615;2.88
Gomeisa;3Bet CMi;111.787680;8.289315;2.89
Cor Caroli;12Alp2CVn;194.007105;38.318380;2.89
Fang;6Pi  Sco;239.712975;-26.114105;2.89
Alniyat;20Sig Sco;245.297145;-25.592796;2.90
Sadalsuud;22Bet Aqr;322.889730;-5.571172;2.90
Matar;44Eta Peg;340.750560;30.221245;2.93
Algorab;7Del Crv;187.466085;-16.515432;2.94
Sadalmelik;34Alp Aqr;331.445985;-0.319851;2.95
Zaurak;34Gam Eri;59.507355;-13.508515;2.97
Tianguan;123Zet Tau;84.411195;21.142549;2.97
Ras Elased Australis;17Eps Leo;146.462820;23.774255;2.97
Alnasl;10Gam2Sgr;271.452045;-30.424091;2.98
Okab;17Zet Aql;286.352535;13.863478;2.99
Pherkad;13Gam UMi;230.182245;71.834016;3.00
Xamidimura;Mu 1Sco;252.967635;-38.047380;3.00
Aldhanab;Gam Gru;328.482120;-37.364852;3.00
Furud;1Zet CMa;95.078295;-30.063367;3.02
Almaaz;7Eps Aur;75.492225;43.823308;3.03
Seginus;27Gam Boo;218.019540;38.308253;3.04
